標題,演出者,專輯/來源,時長(mm:ss),時長(秒),合作名單,標記
Ахегао,Мэйби Бэйби,Ахегао,2:50,170,,
Wildcard (合作演出：Sidnie Tipton),KSHMR,The Lion Across The Field EP,3:25,205,Sidnie Tipton,
Getaway Car,Taylor Swift,reputation (Big Machine Radio Release Special),3:54,234,,
Secrets (Radio Edit) (合作演出：VASSY),Tiësto; KSHMR,Secrets (Radio Edit),3:37,217,VASSY,Edit
Эндорфин,Макс Корж,Жить в кайф,4:29,269,,
illicit affairs,Taylor Swift,folklore,3:11,191,,
Unstoppable (Stripped),The Score,ATLAS (Deluxe),3:18,198,,
Never Forget You,Zara Larsson; MNEK,So Good,3:34,214,,
Не исправлюсь,Дора; Мэйби Бэйби,Не исправлюсь,3:34,214,,
Втюрилась,Дора,Втюрилась,2:04,124,,
I'll Wait,Kygo; Sasha Alex Sloan,Golden Hour,3:36,216,,
Boss Bitch,Doja Cat,Boss Bitch,2:15,135,,
Good Things Fall Apart,ILLENIUM; Jon Bellion,ASCEND,3:37,217,,
watch,Billie Eilish,dont smile at me,2:58,178,,
Lean On (合作演出：MØ和DJ Snake),Major Lazer,Peace Is The Mission (Extended),2:57,177,MØ和DJ Snake,
All You Need To Know,格里芬; Calle Lehmann,Gravity,3:59,239,,
Million Days (合作演出：Claire Ridgely),Sabai; Hoang,Million Days,3:29,209,Claire Ridgely,
Good Things Fall Apart vs. Sad Songs (合作演出：Annika Wells),ILLENIUM; Jon Bellion; Said The Sky,ASCEND (Tour Edits),6:07,367,Annika Wells,
Dark Horse (合作演出：Juicy J),Katy Perry,PRISM,3:36,216,Juicy J,
Bloodstream,The Chainsmokers,Memories...Do Not Open,3:45,225,,
Дорадура,Дора,Младшая сестра,2:15,135,,
Leave The Lights On,Meiko,The Bright Side,4:09,249,,
Roses (合作演出：ROZES),The Chainsmokers,Bouquet,3:46,226,ROZES,
Makeba,Jain,Hope - EP,4:10,250,,
Nightlight,ILLENIUM; Annika Wells,Nightlight,3:43,223,,
Shape of You,Ed Sheeran,Shape of You,3:54,234,,
Lullaby,R3HAB; Mike Williams,Lullaby,2:41,161,,
Funny,捷德; Jasmine Thompson,Funny,3:42,222,,
you broke me first,Tate McRae,you broke me first,2:50,170,,
exile (合作演出：Bon Iver),Taylor Swift,folklore,4:46,286,Bon Iver,
We Get High,Ashe,The Rabbit Hole,2:23,143,,
Save Myself,Ashe,Save Myself,3:45,225,,
