標題,演出者,專輯/來源,時長(mm:ss),時長(秒),合作名單,標記
Mexico,Shotgun Willy; Yung Craka,Mexico,3:24,204,,
If I Killed Someone for You,Alec Benjamin,Narrated For You,3:06,186,,
East of Eden,Zella Day,Kicker,3:07,187,,
GHO$T (合作演出：DeeKay和ILYAdrian),Slevpy808,GHO$T,3:08,188,DeeKay和ILYAdrian,
起风了,解唔出愛情,起风了,4:10,250,,
我丢了他,赵宥乔,我丢了他,3:35,215,,
Любимка,NILETTO,Любимка,3:40,220,,
Waiting For Never,Post Malone,Twelve Carat Toothache (Deluxe),3:17,197,,
Lady Killers III,G-Eazy,Lady Killers III,2:57,177,,
Escapism.,RAYE; 070 Shake,My 21st Century Blues,4:33,273,,
Off the Record,Will Jay,Off the Record,3:28,208,,
Bad at Love,Halsey,hopeless fountain kingdom,3:02,182,,
DOLLAZ ON YA HEAD,Bumboi和Blokka $oLO,DOLLAZ ON YA HEAD,2:19,139,,
Make It Look Easy,Frank Bentley; Lalinea,Make It Look Easy,3:33,213,,
すずめ (合作演出：Toaka),RADWIMPS,すずめ,3:57,237,Toaka,
Make You Mine (Holiday Mix),PUBLIC,Make You Mine (Holiday Mix),3:54,234,,
Make You Mine (Radio Edit),PUBLIC,Make You Mine,3:17,197,,Edit
BAND4BAND,Central Cee; Lil Baby,BAND4BAND,2:21,141,,
可以不是你,戴羽彤,可以不是你,3:37,217,,
Stargazing,Myles Smith,Stargazing,2:53,173,,
5:20AM,刀酱,5:20AM,2:42,162,,
Cry,Benson Boone,Fireworks & Rollerblades,3:07,187,,
i hope ur miserable until ur dead,Nessa Barrett,pretty poison,2:58,178,,
Fortnight (BLOND:ISH Remix) (合作演出：Post Malone),Taylor Swift; BLOND:ISH,Fortnight (BLOND:ISH Remix),3:37,217,Post Malone,Remix
Colors,Halsey,BADLANDS,4:10,250,,
Cheri Cheri Lady,摩登語錄合唱團,Let's Talk About Love,3:47,227,,
I Can Do It With a Broken Heart,Taylor Swift,THE TORTURED POETS DEPARTMENT,3:39,219,,
Somewhere Only We Know,rhianne,Somewhere Only We Know,3:05,185,,
Fur Elise Trailerized,Wall Of Noise; Ludwig Van Beethoven,Classical Evolution,3:01,181,,
Sway With Me,tearsfromwho; Lord Distortion; XATASHI,Sway With Me,3:12,192,,
I HEAR THEM LAUGHING,WHO SHOT SCOTT,I HEAR THEM LAUGHING,3:07,187,,
Architect,Livingston,A Hometown Odyssey,3:33,213,,
Last Man Standing,Livingston,Last Man Standing,3:04,184,,
John Wick,Connor Price; ANAS,John Wick,2:53,173,,
I Should Have Stayed at Home,Ryan Mack,I Should Have Stayed at Home,2:44,164,,
Echo Sax End,Caleb Arredondo,Echo Sax End,1:18,78,,
RUNNING,NF,HOPE,4:14,254,,
Vois sur ton chemin (Techno Mix),BENNETT,Vois sur ton chemin (Techno Mix),2:59,179,,
Tokyo Drift,BEAUZ; MYLK,Tokyo Drift,2:44,164,,
Ele Te Bota Soca Soca,MC Mazzie; Mc Rd; DJ NPC Size; DJ Wizard,Ele Te Bota Soca Soca,3:01,181,,
i like the way you kiss me,Artemas,i like the way you kiss me,2:23,143,,
Automotivo Bibi Fogosa,Bibi Babydoll; DJ Brunin XM; KZA Produções,Automotivo Bibi Fogosa,2:10,130,,
Summer Days (合作演出：Macklemore和Patrick Stump of Fall Out Boy),Martin Garrix; Macklemore; Fall Out Boy,Summer Days (feat. Macklemore & Patrick Stump of Fall Out Boy),2:44,164,Macklemore和Patrick Stump of Fall Out Boy,
Agora Hills,Doja Cat,Scarlet,4:26,266,,
Sold Out,Hawk Nelson,Diamonds,3:34,214,,
Roi,Videoclub; Adèle Castillon; Mattyeux,Roi,3:46,226,,
Camouflage,BoyWithUke,Lucid Dreams,2:43,163,,
Maybe Man,AJR,The Maybe Man,3:41,221,,
翻唱《带我去找夜生活》- 告五人，如果你还没有睡，如果你还不停追。 Ameme cover,,Ameme_Channel,5:07,307,,
L.I.F.E.,Remady,L.I.F.E.,3:00,180,,
Way Too High,Mike Perry,Way Too High,3:03,183,,
听说你,于冬然,听说你,4:00,240,,
四季终点,张德伊玲,四季终点,3:28,208,,
Fractures (Trivecta Remix) (合作演出：Nevve),Awake (Remixes),Awake (Remixes),5:02,302,Nevve,Remix
用情 (Remix),歪歪超; 羊羊,用情 (Remix),3:20,200,,Remix
这辈子欠自己太多,李发发,这辈子欠自己太多,3:56,236,,
All For Love (合作演出：理查德·史米特),Tungevaag; Raaban,All For Love,3:01,181,理查德·史米特,
Stay The Night,Just Kiddin; Camden Cox,Stay The Night,2:47,167,,
执迷不悟 (DJ版),小乐哥(王唯乐),执迷不悟,4:06,246,,
出山,花粥; 王胜娚,出山,3:21,201,,
北島詩 - 9277(女聲版)「要我唱幾首歌才能夠將你捕捉」動態歌詞版,,9420 Music Bar,3:13,193,,
Running Up That Hill (BLVCK CROWZ Edit) (合作演出：Luke Madness),Kilian K; Blaze U; BLVCK CROWZ,Running Up That Hill (BLVCK CROWZ Edit),2:59,179,Luke Madness,Edit
Mercy,Jauz; Masked Wolf,Mercy,3:11,191,,
Drvgs (合作演出：Hayley Gene),DVBBS,Initio E.P,4:11,251,Hayley Gene,
Glamorama,Bryce Vine,Night Circus,3:12,192,,
Dark Paradise,Matt Lange; Tania Zygar,"Aruna Presents The Hot List, Vol. 1",4:19,259,,
Strangers,Kenya Grace,Strangers,2:53,173,,
Disconnect (Songer Remix),Becky Hill,Disconnect (Songer Remix),2:42,162,,Remix
爱如火 (说唱版),Sapling; Hugo; 未知旋律Crew,爱如火 (说唱版),3:14,194,,
Ain't Seen Nothin',Paper Kings,Ain't Seen Nothin',2:28,148,,
Lost The Breakup,Maisie Peters,The Good Witch,3:10,190,,
You Problem,Cloudy June; emlyn,You Problem,3:02,182,,
golden hour,JVKE,this is what ____ feels like (Vol. 1-4),3:30,210,,
i can't get high,Royal; the Serpent,i can't get high,3:09,189,,
LET IT OFF,Eldritch,LET IT OFF,2:58,178,,
Victoria's Secret,Jax,Victoria’s Secret,2:57,177,,
Shower,Becky G,Shower,3:27,207,,
Freezing,Mimi Webb,Amelia,2:57,177,,
Wendy,Maisie Peters,The Good Witch,3:19,199,,
I Can See You (Taylor’s Version) (From The Vault),Taylor Swift,Speak Now (Taylor's Version),4:34,274,,Version
Worst Day,ILLENIUM; MAX,ILLENIUM,2:48,168,,
vampire,Olivia Rodrigo,GUTS (spilled),3:40,220,,
Every Breath You Take (Acoustic),Jada Facer; Kyson Facer,Every Breath You Take (Acoustic),3:40,220,,Acoustic
I Am Steve,Hey Steve,Steve by Steve,3:26,206,,
Trampoline,SHAED,Trampoline (Sped Up),3:05,185,,
Miss Me the Same (with Anson Seabra) (合作演出：Anson Seabra),Sara Kays,Miss Me The Same (with Anson Seabra),3:37,217,Anson Seabra,
Rockstar,BoyWithUke,Rockstar,3:14,194,,
The Story Of Us (Taylor's Version),Taylor Swift,Speak Now (Taylor's Version),4:28,268,,Version
When I Grow Up,NF,The Search,3:17,197,,
Best Friend (合作演出：NERVO、The Knocks和ALISA UENO),SOFI TUKKER,Best Friend,3:05,185,NERVO、The Knocks和ALISA UENO,
Hard Part's Over,Hoang; Page,Hard Part's Over,3:15,195,,
Graduation (Friends Forever),Vitamin C,Vitamin C,5:41,341,,
Bitter,FLETCHER; Kito,Bitter,3:15,195,,
like my father,Jax,like my father,3:04,184,,
10 Things I Hate About You,Leah Kate,10 Things I Hate About You,2:38,158,,
eighteen,Henry Moodie,eighteen,3:10,190,,
Cinderella Snapped,Jax,Cinderella Snapped,2:54,174,,
Memories,Conan Gray,Superache,4:09,249,,
HAPPY,NF,HOPE,4:03,243,,
2022 DJ抖音版 - 爱拼才会赢 - Ai pia cia e ya - Remix Tiktok Douyin -  Bekerja Keras Baru Bisa Sukses  #DJ抖音版,,Yaki Ling Remix Collection,4:07,247,,Remix
Tokyo Nights,Digital Farm Animals; Shaun Frank; Dragonette,Tokyo Nights,4:04,244,,
LONELY AND F*CKED UP,The Kid LAROI,F*CK LOVE 3+: OVER YOU,2:43,163,,
C'est la vie,Weathers,Pillows & Therapy,3:15,195,,
Don't Let Me Down,Lucas; Steve,Letters To Remember,3:02,182,,
Bullet,Saint Motel,The Original Motion Picture Soundtrack,3:24,204,,
Pmac - One,,SwagyTracks,3:52,232,,
On My Way,BUNT.和Haywood,On My Way,3:17,197,,
They Speak (Ow),Öwnboss; CEVITH,They Speak (Ow),3:00,180,,
MBNN & Rowald Steyn - ilomilo (Billie Eilish),,Sos Music,3:00,180,,
Breathe,ZABO,Breathe,3:20,200,,
untitled,semmmyq; shinra,untitled,3:08,188,,
I Don't Wanna Talk (I Just Wanna Dance),Glass Animals,Dreamland (+ Bonus Levels),3:16,196,,
Cyka Blyat,DJ Blyatman; Russian Village Boys,Cyka Blyat,3:03,183,,
Kira,lonelovee,Kira,1:55,115,,
Live Forever (合作演出：Lexy Panterra和Lil Yachty),Stafford Brothers,Live Forever,3:22,202,Lexy Panterra和Lil Yachty,Live
Fun Fun Fun (合作演出：Raquel Castro),Dimitrix,Si Tu Te Tiras,3:43,223,Raquel Castro,
Our Time Together (合作演出：Marie Elizabeth),Ivan B,Our Time Together,4:21,261,Marie Elizabeth,
Mansion (合作演出：Fleurie),NF,Mansion,5:24,324,Fleurie,
Get Out My Way,NEFFEX,Get Out My Way,3:12,192,,
Blisters,Dylan,The Greatest Thing I’ll Never Learn,3:22,202,,
Never Dated You,Andi,Never Dated You,2:02,122,,
3 Moods,Abe Parker,3 Moods,3:09,189,,
Dj Kantik - Teriyaki Boyz - Tokyo Drift & Sean Paul - Temperature (Remix),,Dj Kantik,3:51,231,& Sean Paul - Temperature (Remix,Remix
Your Love's Like,Sabrina Carpenter,Eyes Wide Open,3:30,210,,
Nutcase22 - Captain (Restricted Remix),,Bounce & Bass,2:57,177,,Remix
SH!TSHOW,NERIAH,SH!TSHOW,3:06,186,,
not my job anymore,Thomas Day,not my job anymore,3:09,189,,
Fired My Therapist,madelline,Fired My Therapist,3:05,185,,
I'M SOLO,SoloCelo,I'M SOLO,3:13,193,,
Ill Mind of Hopsin 8,Hopsin,Ill Mind of Hopsin 8,6:31,391,,
i remember,bbno$,eat ya veggies,3:24,204,,
Cowboys Don’t Cry,Oliver Tree,Cowboy Tears,3:10,190,,
Me + You,Sabai; Rave New World,Me + You,2:52,172,,
Lost,Blake Rose,Lost,3:55,235,,
Without You,John De Sohn; Rasmus Hagen,Without You,3:03,183,,
Boyfriend Of The Year,Bellah Mae,Boyfriend Of The Year,3:06,186,,
Don't Matter,Derik Fein,Don't Matter,3:21,201,,
The DJ is Crying for Help,AJR,The DJ Is Crying For Help,3:40,220,,
Otaku Killers (合作演出：Pinkii),Shiki-Tmns,Otaku Killers,3:15,195,Pinkii,
mr. sunshine,Arden Jones,age tape 8,2:58,178,,
Hold It Down,Noah Kahan,Hold It Down,3:17,197,,
White Room (合作演出：Julia Ross),Ayon,EQUILIBRIUM,3:36,216,Julia Ross,
Take Me,William Black; Matte; RUNN,Take Me,3:12,192,,
Let You Go (合作演出：Ember Island),Illenium,Awake,3:05,185,Ember Island,
Luv Me a Little,ILLENIUM; Nina Nesbitt,Luv Me A Little,3:45,225,,
dream on - aerosmith (sped up),,qwester,3:41,221,,Sped Up
Sabai & Hoang - Million Days (Lyrics) Ayon Remix (合作演出：克萊爾·李奇利),Hoang,SABAI,3:29,209,克萊爾·李奇利,Remix
Closure,Hayd,Changes,3:17,197,,
Lie,NF,Perception,3:30,210,,
because i liked a boy,Sabrina Carpenter,emails i can't send,3:17,197,,
Unmiss You,Clara Mae,Unmiss You,3:11,191,,
Vanic x Zella Day - Hypnotic,,Trap City,4:43,283,,
Clouds,Paper Idol,Clouds,3:05,185,,
If We Have Each Other,Alec Benjamin,If We Have Each Other,3:02,182,,
Jungle (合作演出：Soup和TheDooo),Mome Boys,Mistakes Were Made,3:15,195,Soup和TheDooo,
Understand,BoyWithUke,Serotonin Dreams,2:52,172,,
Freak (合作演出：REI AMI),Sub Urban,Thrill Seeker,3:14,194,REI AMI,
i miss u,Jax Jones; Au; Ra,i miss u,2:53,173,,
bandits rmx,wonder和Yun Head,bandits rmx,3:46,226,,
Married to the Bag,Shotgun Willy,Married to the Bag,2:24,144,,
engravings,Ethan Bortnick,engravings,2:54,174,,
The Search (Edit),NF,The Search (Edit),3:18,198,,Edit
Maniac,Conan Gray,Kid Krow,3:06,186,,
Stereo Hearts (合作演出：Adam Levine),Gym Class Heroes,The Papercut Chronicles II,3:31,211,Adam Levine,
Statement,NEFFEX,Tough,3:07,187,,
Love Language (合作演出：Evelyne Brochu),Connor Price,Love Language,2:51,171,Evelyne Brochu,
Start Again,Connor Price; Chloe Sagum,Start Again,2:33,153,,
Spinnin,Connor Price; Bens,Spinnin,1:51,111,,
"Taurus (From The Motion Picture ""Taurus"") (合作演出：Naomi Wild)",mgk,"Taurus (From The Motion Picture ""Taurus"")",3:01,181,Naomi Wild,
Waiting for the Summer,Deepend; Graham Candy,Waiting for the Summer,2:49,169,,
STAR WALKIN' (League of Legends Worlds Anthem),Lil Nas X,STAR WALKIN' (League of Legends Worlds Anthem),3:31,211,,
Nineteen,Dylan,No Romeo EP,3:39,219,,
No Romeo,Dylan,No Romeo,3:12,192,,
again&again (合作演出：guardin),Against The Current,again&again,3:16,196,guardin,
Men On The Moon,Chelsea Cutler,Men On The Moon,3:41,221,,
John Hughes Movie,Maisie Peters,You Signed Up For This,3:37,217,,
Good Enough,Maisie Peters,Good Enough,3:42,222,,
Glowing Review,Maisie Peters,Trying: Season 2 (Apple TV+ Original Series Soundtrack),2:57,177,,
2 Die 4,Tove Lo,Dirt Femme,3:06,186,,
You Signed Up For This,Maisie Peters,You Signed Up For This,3:16,196,,
Joel Adams - Please Don't Go (Tschax Remix),,MrRevillz,3:51,231,,Remix
overwhelmed (Chri$tian Gate$ remix),Royal; the Serpent,overwhelmed (the remixes),2:15,135,,Remix
Still Beat,Mome Boys,Mistakes Were Made,3:12,192,,
Not Another Rockstar,Maisie Peters,Not Another Rockstar,2:30,150,,
Real,Tritonal; Evalyn,Real,3:23,203,,
Temporary,Alexa Cappelli,Temporary,2:56,176,,
We Were Here,Lights,Skin & Earth,3:50,230,,
Tripping Over Air,Aidan Bissett,Tripping Over Air,3:03,183,,
People You Know,Selena Gomez,Rare,3:15,195,,
I'm Not Dead Yet,好人卡男孩麥克波斯納,I'm Not Dead Yet,2:59,179,,
Akon - Bananza (Belly Dancer) [Divolly & Markward Remix],,House Nation,2:47,167,,Remix
bag or die,bbno$,bag or die,1:59,119,,
Slide,Zye Ca$h,Slide,3:08,188,,
Question...?,Taylor Swift,Midnights (3am Edition),3:31,211,,
"You're On Your Own, Kid",Taylor Swift,Midnights (3am Edition),3:15,195,,
Snow On The Beach (合作演出：Lana Del Rey),Taylor Swift,Midnights (3am Edition),4:17,257,Lana Del Rey,
Anti-Hero,Taylor Swift,Midnights (3am Edition),3:21,201,,
Come & Go,棉花糖,朱斯·沃爾德,3:32,212,,
C’est La Vie,Yung Gravy; bbno$; Rich Brian,C'est La Vie,2:41,161,,
Die For You (Dabin Remix),VALORANT; Grabbitz; Dabin,Die For You (Dabin Remix),2:59,179,,Remix
edamame (合作演出：Rich Brian),bbno$,eat ya veggies,2:14,134,Rich Brian,
I Really Want to Stay at Your House,Rosa Walton; Hallie Coggins,"Cyberpunk 2077: Radio, Vol. 2 (Original Soundtrack)",4:07,247,,
Hearts on Fire (Timmy Trumpet Remix),ILLENIUM; Dabin; Lights,Hearts on Fire (Timmy Trumpet Remix),3:31,211,,Remix
We’re The Same‬‬ (Jake & Kellini Remix),Vigiland; Alexander Tidebrink,We’re The Same‬‬ (Jake & Kellini Remix),3:37,217,,Remix
Can't Help Falling In Love,Hearts; Colors,Can't Help Falling In Love,2:21,141,,
One Life,Ed Sheeran,= (Tour Edition),3:52,232,,
Devil (合作演出：Busta Rhymes、B.o.B和Neon Hitch),Cash Cash,"Blood, Sweat & 3 Years",3:31,211,Busta Rhymes、B.o.B和Neon Hitch,
Ghost Assassin,Maduk; Veela,Ghost Assassin EP,3:42,222,,
Majesty feat. Wasiu (合作演出：Wasiu),Apashe,Requiem,4:28,268,Wasiu (合作演出：Wasiu,
Thin Line (合作演出：Buffalo Madonna),麥可莫,The Heist (Deluxe Edition),4:17,257,Buffalo Madonna,
"You Need Me, I Don't Need You",Ed Sheeran,+,3:41,221,,
La La Land (合作演出：YG),Bryce Vine,La La Land,2:58,178,YG,
Strip That Down (合作演出：Quavo),Liam Payne,LP1,3:23,203,Quavo,
Cake By The Ocean,DNCE,DNCE,3:40,220,,
I'm Not The Only One,Sam Smith,In The Lonely Hour,4:00,240,,
Runaway,R3HAB; Sigala; JP Cooper,Runaway,2:49,169,,
Nights Like That (合作演出：Georgia Ku),BUNT.,Nights Like That,3:13,193,Georgia Ku,
Viva La Vida,Coldplay,Viva La Vida (Prospekt's March Edition),4:02,242,,
Little Talks,Of Monsters and Men,My Head Is An Animal,4:27,267,,
Liability,Lorde,Melodrama,2:52,172,,
Save Myself,Ashe,Ashlyn,3:43,223,,
Another Life (合作演出：Alida),Lucas; Steve,Letters To Remember,3:33,213,Alida,
Tear Me Down (合作演出：Philip Rustad),Davai,Tear Me Down,3:05,185,Philip Rustad,
When We Were Still Young,Klaas,When We Were Still Young,3:01,181,,
By Your Side (合作演出：RAYE),Jonas Blue,By Your Side,3:22,202,RAYE,
No Promises (合作演出：Demi Lovato),Cheat Codes; Demi Lovato,No Promises,3:44,224,Demi Lovato,
Skyline,MÖWE,Skyline,2:44,164,,
Freedom,Kygo; Zak Abel,Golden Hour,3:19,199,,
Lordly [MDZN Remix] (合作演出：Alex Aiono),Feder,Lordly [Remix EP],4:38,278,Alex Aiono,Remix
Little Swing,AronChupa; Little Sis Nora,Little Swing,2:44,164,,
Young Hearts,BUNT.; BEGINNERS,Young Hearts,3:17,197,,
Sweater Weather,Max Schneider Alyson Stoner Max Schneider Alyson Stoner,Kurt Hugo Schneider 2014,3:49,229,,
Say It Right,Sunlike Brothers; Micano,Say It Right,2:46,166,,
"Everyday, Everyday (合作演出：Nevve)",Manila Killa,"Everyday, Everyday",3:40,220,Nevve,
What's Up?,LIZOT; waybackwhen,What's Up?,2:49,169,,
Feel Good Inc,Lucifer; PØP CULTUR; HÄWK,FeelGood Inc,2:58,178,,
Big City Life,Luude; Mattafix,Big City Life,2:27,147,,
Drew Barrymore,Bryce Vine,Drew Barrymore,3:12,192,,
