title,artist,path,bpm,energy
Herzlos,Mila,media/Herzlos.mp3,123,0.3
It's Time,Imagine Dragons,media/It's Time.mp3,103,0.21
Hope,The Chainsmokers · Winona Oak,media/Hope.mp3,103,0.28
The List,Maisie Peters,media/The List.mp3,117,0.22
Colors (Audien Remix),Halsey,media/Colors (Audien Remix).mp3,136,0.35
Bad Habits,Ed Sheeran,media/Bad Habits.mp3,123,0.34
mr. sunshine,Arden Jones,media/mr. sunshine.mp3,129,0.38
Getaway Car,Taylor Swift,media/Getaway Car.mp3,86,0.27
Down For The Ride,ItaloBrothers,media/Down For The Ride.mp3,123,0.3
Castaway,LU2VYK & River,media/Castaway.mp3,117,0.25
Cake By The Ocean,DNCE,media/Cake By The Ocean.mp3,117,0.24
I Hope,Gabby Barrett,media/I Hope.mp3,152,0.22
Someone Like You,Klaas,media/Someone Like You.mp3,129,0.29
Little Swing,AronChupa · Little Sis Nora,media/Little Swing.mp3,123,0.27
Mr. Brightside,Mark August Stoermer,media/Mr. Brightside.mp3,83,0.3
Scream & Shout,will.i.am · Britney Spears,media/Scream & Shout.mp3,129,0.27
Memories,Conan Gray,media/Memories.mp3,112,0.25
I'm Not Dead Yet,Sean Douglas,media/I'm Not Dead Yet.mp3,136,0.24
Gone Are The Days,Kygo · James Gillespie,media/Gone Are The Days.mp3,123,0.21
High Enough,K.Flay,media/High Enough.mp3,89,0.31
GRRRLS,AViVA,media/GRRRLS.mp3,89,0.23
Tie Me Down,Gryffin · Elley Duhé,media/Tie Me Down.mp3,99,0.32
Bad Things,mgk · Camila Cabello,media/Bad Things.mp3,136,0.33
Feel Good Inc,Lucifer · PØP CULTUR · HÄWK · Brian Burton · Damon Albarn · David Jolicoeur · Jamie Hewlett,media/Feel Good Inc.mp3,123,0.27
Little Talks,Of Monsters and Men,media/Little Talks.mp3,103,0.23
DJ Blaytman & Russian Village Boys,Cyka Blyat' (Lyrics),media/DJ Blaytman & Russian Village Boys - Cyka Blyat' (Lyrics).mp3,152,0.27
I'll Wait,Kygo · Sasha Alex Sloan,media/I'll Wait.mp3,123,0.27
& again,Against The Current · guardin,media/again & again.mp3,83,0.3
Statement,NEFFEX,media/Statement.mp3,96,0.26
Can't Help Falling In Love,Hearts & Colors,media/Can't Help Falling In Love.mp3,76,0.16
3 Moods,Abe Parker,media/3 Moods.mp3,89,0.21
Dive,Hot Shade · Mike Perry · Chris James,media/Dive.mp3,123,0.28
Lonely,Justin Bieber · benny blanco,media/Lonely.mp3,152,0.29
Hate You,Jim Yosef · Riell,media/Hate You.mp3,96,0.28
Centuries,Fall Out Boy,media/Centuries.mp3,89,0.31
thousand years,Christina Perri,media/a thousand years.mp3,92,0.22
Creep,R3HAB · GATTÜSO,media/Creep.mp3,123,0.23
Somebody Told Me,The Killers,media/Somebody Told Me.mp3,136,0.3
"1 step forward, 3 steps back",Olivia Rodrigo,"media/1 step forward, 3 steps back.mp3",172,0.16
We'll Meet Again,Christian F J Buettner,media/We'll Meet Again.mp3,96,0.28
LONELY AND F*CKED UP,The Kid LAROI,media/LONELY AND FCKED UP.mp3,123,0.25
Diamonds,Talia Mar,media/Diamonds.mp3,129,0.32
On My Way,BUNT. · Haywood,media/On My Way.mp3,123,0.29
bag or die,bbno$,media/bag or die.mp3,108,0.29
Teriyaki Boyz,Dj Kantik,media/Dj Kantik - Teriyaki Boyz - Tokyo Drift & Sean Paul - Temperature (Remix).mp3,129,0.27
Careless,Neffex,media/Careless.mp3,76,0.23
PSYCHO,AViVA,media/PSYCHO (1).mp3,136,0.27
Glamorama,Bryce Vine,media/Glamorama.mp3,152,0.26
Tell Me It's Okay,Justin Kang,media/Tell Me It's Okay.mp3,92,0.22
Take You To Hell,Ava Max,media/Take You To Hell.mp3,172,0.27
This Girl (Kungs Vs. Cookin' On 3 Burners) (Kungs Vs. Cookin' On 3 Burners),Kungs · Cookin' On 3 Burners,media/This Girl (Kungs Vs. Cookin' On 3 Burners) (Kungs Vs. Cookin' On 3 Burners).mp3,123,0.26
La La Land (feat. YG),Bryce Vine · YG,media/La La Land (feat. YG).mp3,99,0.32
Dance (‘Til You Love Someone Else),Sam Smith,media/Dance (‘Til You Love Someone Else).mp3,123,0.26
SH!TSHOW,NERIAH,media/SH!TSHOW.mp3,96,0.31
Parade,Alessandro Vinai,media/Parade.mp3,76,0.39
Wildcard (feat. Sidnie Tipton),KSHMR · Sidnie Tipton,media/Wildcard (feat. Sidnie Tipton).mp3,129,0.29
